Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G6,400,BÜRORAUM,F-ITE,F-ITE,25/09/15,31/12/99
151.02,Luftpostleitstelle,G6,750,FLUR,F-RE,F-RE,25/09/15,31/12/99
151.02,Luftpostleitstelle,G6,415,BÜRORAUM,F-ITES,F-ITES,08/12/15,31/12/99
151.02,Luftpostleitstelle,G6,417,BÜRORAUM,F-ITES,F-ITES,08/12/15,31/12/99
151.02,Luftpostleitstelle,G6,423,BÜRORAUM,F-ITES,F-ITES,08/12/15,31/12/99
151.02,Luftpostleitstelle,G6,425,BÜRORAUM,F-ITES,F-ITES,08/12/15,31/12/99
151.02,Luftpostleitstelle,G5,405,BÜRORAUM,F-ITE,F-ITE,01/02/13,31/12/99
151.02,Luftpostleitstelle,G5,403,BÜRORAUM,F-ITE,F-ITE,01/02/13,31/12/99
151.02,Luftpostleitstelle,G5,230,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,229,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,235,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,214,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,208,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,231,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,232,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,200,ARCHIV,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,204,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,207,BESPRECHUNGSRAUM,F-UE,F-PT-K,15/08/06,31/12/99
151.02,Luftpostleitstelle,G5,212,BÜRORAUM,F-UE,F-PT-K,15/08/06,31/12/99
