Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G6,207,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,209,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,210,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,212,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,213,VORRAUM ZU SANITÄRRAUM,F-PT-K,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,215,TOILETTE,F-PT-K,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,216,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,217,PUTZRAUM,SASSE,F-RELR,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,219,VORRAUM ZU SANITÄRRAUM,F-PT-K,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,221,TOILETTE,F-PT-K,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,223,TEEKÜCHE,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,226,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,101,VERVIELFÄLTIGUNGSRAUM,F-ITK,F-ITK,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,106,BÜRORAUM,F-ITK,F-ITK,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,112,BÜRORAUM,F-ITK,F-ITK,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,113,VORRAUM ZU SANITÄRRAUM,F-IT,F-IT,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,227,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,229,BÜRORAUM,F-UE,F-PT-K,17/05/92,31/12/99
